0	1	mikroCPIC1618.exe -MSF -DBG -pP18F45K22 -DL -O11111114 -fo31 -N"C:\Users\Henrique Mauler\Documents\Programação\C\Trabalhos 2018\PIC18F45K22\Intercomunicador serial - udp\comunicador_entre_PIC_PC.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\Henrique Mauler\Documents\Programação\C\Trabalhos 2018\PIC18F45K22\Intercomunicador serial - udp\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT800\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT810\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT812\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT800\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT810\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT812\Uses\" "comunicador_entre_PIC_PC.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_MemManager.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_K22_B.mcl" "__Lib_EEPROM_256.mcl" "__Lib_FLASH_w64_e64.mcl" "__Lib_I2C_c34d01.mcl" "__Lib_PWM_c21.mcl" "__Lib_PWM_b5d1e2.mcl" "__Lib_SPI_c345d014.mcl" "__Lib_UART_c67d67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_MmcFat16Constants.mcl" "__Lib_RS485.mcl" "__Lib_S1D13700.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "__Lib_TFT.mcl" "__Lib_TFT_Defs.mcl" "__Lib_TFT_16bit.mcl" "__Lib_TFT_16bit_Defs.mcl" "__Lib_TouchPanel_TFT.mcl" "__Lib_EthEnc24j600.mcl" "__Lib_STMPE610.mcl" "__Lib_TouchPanel.mcl" "__Lib_FT800_Defs.mcl" "__Lib_FT800.mcl" "__Lib_FT810_Defs.mcl" "__Lib_FT810.mcl" "__Lib_FT812_Defs.mcl" "__Lib_FT812.mcl"	 
hint: 0	1139	Available RAM: 1515 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	122	Compilation Started	comunicador_entre_PIC_PC.c
warning: 56	1503	Result is not defined in function: 'read'	comunicador_entre_PIC_PC.c
diagnostics: 78	123	Compiled Successfully	comunicador_entre_PIC_PC.c
diagnostics: 0	127	All files Compiled in 94 ms	 
error: 0	360	Unresolved extern 'TFT_16bit_RS'	__Lib_TFT_16bit_Defs.c
error: 0	360	Unresolved extern 'TFT_16bit_DataPort_Lo'	__Lib_TFT_16bit_Defs.c
error: 0	360	Unresolved extern 'TFT_16bit_WR'	__Lib_TFT_16bit_Defs.c
error: 0	360	Unresolved extern 'TFT_16bit_RS'	__Lib_TFT_16bit_Defs.c
error: 0	360	Unresolved extern 'TFT_16bit_DataPort_Lo'	__Lib_TFT_16bit_Defs.c
error: 0	360	Unresolved extern 'TFT_16bit_WR'	__Lib_TFT_16bit_Defs.c
error: 0	360	Unresolved extern 'TFT_RS'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_DataPort'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_WR'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_RS'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_DataPort'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_WR'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_CS'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_RD'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_RS'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_DataPort'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_WR'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_CS'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_RD'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_RS'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_DataPort'	__Lib_TFT_Defs.c
error: 0	360	Unresolved extern 'TFT_WR'	__Lib_TFT_Defs.c
error: 0	102	Finished (with errors): 22 fev 2018, 18:46:28	comunicador_entre_PIC_PC.mcppi
